work_order_id,asset_id,asset_type,date,technician_name,failure_mode,symptom_description,root_cause,action_taken,parts_used,downtime_hours,related_asset_ids
WO-0012,MOTOR-601,Induction Motor,2023-01-22,Carlos Ramirez,bearing wear,Severe grinding audible near drive coupling. Motor bearing temperature elevated (`102`°C) with `extreme` radial vibration (`0.53` in/sec RMS).,Normal fatigue wear of deep groove ball bearings (`0.021 inch` race play) after exceeding `13354` hours of continuous operating life.,"Disassembled motor, installed insulated NDE bearing and standard DE bearing (`Spec-212`), verified proper clearance (`0.009 gap`), and tested smooth running (`0.44` in/sec).","SKF Deep Groove Ball Bearing Set, Grease Valve Kit, End Shield Gasket",6.7,
WO-0023,MOTOR-601,Induction Motor,2023-02-11,Priya Patel,bearing wear,Motor drive-end bearing housing temperature reaching `109`°C (`alarm > 85°C`). High frequency acoustic vibration (`0.48` in/sec RMS) detected.,Contamination of bearing grease with ambient chemical dust (`413 ppm` solids) through defective shaft labyrinth seal (`0.018 gap`).,"Replaced DE/NDE bearings (`P/N 7732-X`), installed upgraded non-contact INPRO labyrinth shaft seals (`Spec-238`), and greased with Polyrex EM (`59%` fill).","Precision Ball Bearing C3 Set, INPRO Labyrinth Seal Kit, Polyrex EM Grease",5.3,
WO-0074,MOTOR-601,Induction Motor,2023-06-13,Elena Rostova,overheating,Thermal overload relay tripped after `34668` hours of continuous running (`37 Amps`). Cooling fan shroud feels slight hot to the touch.,"Running motor at low RPM (`< 44 Hz`) via VFD without auxiliary blower forced-air cooling, leading to severe thermal stagnation (`147`°C).","Corrected upstream tap settings on transformer to balance phase voltage (`4160V`), deep cleaned motor heat sink fins, and verified winding temp dropped (`-94`°C).","Cooling Fan Blade Assembly, Shroud Fasteners, Fan Guard Grid",3.6,
WO-0079,MOTOR-601,Induction Motor,2023-06-22,Elena Rostova,winding insulation failure,Motor tripped main overload and instantaneous ground fault protection (`133 Amps`). Stator shows `99`°C localized hotspot on IR scan.,Overloading motor beyond `1.15` service factor (`drawing 70%` above rated `113 Amps`) during peak production caused sustained copper heating (`137`°C).,"Performed complete motor replacement (`Spec-755`), renewed lead lugs (`225 in-lbs` torque), and verified dynamic balance (`0.40` in/sec) and laser alignment (`0.011 gap`).","Warehouse Spare Induction Motor Assembly, Mounting Bolt Set, Lead Connectors",8.2,
WO-0098,MOTOR-601,Induction Motor,2023-07-07,David Chen,rotor imbalance,Radial vibration velocity (`0.40` in/sec RMS) peaking at `1X` running speed (`19 Hz`). Phase angle steady across drive-end bearing pedestal.,Porosity and casting voids (`0.05 inch` void) inside aluminum rotor short-circuit rings that shifted after `20872` thermal cycles (`96`°C).,"Extracted rotor, machined end rings to true balance plane (`0.006 tolerance`), balanced dynamically (`G1.0`), and verified smooth running (`0.47` in/sec RMS).","Precision Dynamic Balancing Weight Set, End Ring Clip Kit",4.6,
WO-0099,MOTOR-601,Induction Motor,2023-07-07,Jameson Thorne,bearing wear,Motor drive-end bearing housing temperature reaching `104`°C (`alarm > 85°C`). High frequency acoustic vibration (`0.55` in/sec RMS) detected.,Shaft voltage discharge (EDM currents of `460V +/- 4%`) from VFD switching transients caused fluting and micro-pitting on bearing raceways.,"Replaced worn bearing set (`P/N 2268-X`), cleaned grease cavities of `36 ppm` debris, installed new grease relief valves, and balanced rotor assembly (`G2.5`).","Bearing Kit (DE & NDE), Lip Seals, Bearing Housing Gasket",5.6,
WO-0122,MOTOR-601,Induction Motor,2023-08-06,Hannah Abbott,overheating,Motor casing temperature elevated (`+93`°C above ambient). Winding resistance increased due to excessive copper temperature (`138`°C). Field diagnostics indicate misalignment at shaft coupling connecting directly to CNV-601.,Broken external cooling fan blade (`28%` fan area lost) caused loss of turbulent airflow across cooling ribs under `135 Amps` load.,"Replaced damaged polypropylene cooling fan (`Spec-998`), straightened bent fan cowl (`0.010 gap`), and verified full airflow restoration (`116`°C housing).","Polypropylene Replacement Cooling Fan, Cowl Hardware Kit",3.8,CNV-601
WO-0129,MOTOR-601,Induction Motor,2023-08-13,David Chen,rotor imbalance,Motor shaking severely (`0.32` in/sec RMS) right after routine cleaning. No electrical anomalies detected on phase currents (`169 Amps`).,Uneven accumulation of heavy dried process cake and dirt (`0.12 inch` layer) inside rotor cooling channels and external fan blades.,"Removed rotor from stator, cleaned debris from cooling slots, checked shaft runout on lathe (`0.012 inch`), and dynamically balanced rotor to G2.5 grade (`0.23` in/sec).","Replacement Cooling Fan Assembly, Shaft Key, Balancing Weights",7.0,
WO-0139,MOTOR-601,Induction Motor,2023-08-28,Elena Rostova,rotor imbalance,"High horizontal vibration measured at motor drive-end (`0.29` in/sec RMS, `46%` above ISO 10816 alarm threshold). Unit humming loudly (`growling`).",Thermal bowing (`0.006 inch` deflection) of rotor shaft caused by previous localized stator winding hotspot (`114`°C) during high load run.,"Replaced cracked external cooling fan (`Spec-713`), cleaned rotor end rings, and applied trim balance weights (`Spec-239`) to drive-end balance plane.","Rotor Balancing Clip Set, External Cooling Fan",6.5,
WO-0142,MOTOR-601,Induction Motor,2023-09-10,Elena Rostova,overheating,Motor frame temperature exceeding `75`°C measured across cooling fins. RTD sensors indicating winding temp near `106`°C (`alarm limit 140°C`).,Broken external cooling fan blade (`27%` fan area lost) caused loss of turbulent airflow across cooling ribs under `72 Amps` load.,"Replaced damaged polypropylene cooling fan (`P/N 2852-B`), straightened bent fan cowl (`0.011 gap`), and verified full airflow restoration (`103`°C housing).","Polypropylene Replacement Cooling Fan, Cowl Hardware Kit",3.6,
WO-0171,MOTOR-601,Induction Motor,2023-11-14,Priya Patel,winding insulation failure,Strong unusual smell of burnt varnish from motor cooling fan shroud. Megger test reads `0.24 Mega-ohms` between Phase A and ground (`460V +/- 2%`).,"Partial discharge (corona) degradation inside stator end turns under `480V +/- 1%` operation, eroding slot insulation over `11 months`.","Rewound stator coils with corona-resistant inverter-grade magnet wire (`P/N 9939-C`), applied double epoxy VPI dip, and megger tested (`> 1000 Mega-ohms`).","Inverter-Grade Magnet Wire Set, Class H Slot Liners, VPI Epoxy Resin",11.2,
WO-0189,MOTOR-601,Induction Motor,2023-12-28,Hannah Abbott,rotor imbalance,Elevated 1X rotational vibration (`0.53` in/sec RMS) causing structural looseness (`0.013 inch` play) on motor foot shims.,Loss of balancing weight (`1.3 lbs` mass detached) from cooling fan or rotor end ring due to vibration fatigue (`0.39` in/sec) over `14233` hours.,"Disassembled cooling fan shroud, cleaned rotor assembly (`1.4 lbs` dirt cleared), and performed in-situ two-plane dynamic field balancing using trim weights (`Spec-805`).","Dynamic Balancing Trim Weight Kit, Fan Shroud Fasteners",7.4,
WO-0195,MOTOR-601,Induction Motor,2024-01-09,Elena Rostova,bearing wear,Loud gradual whining and chattering sound emanating from motor non-drive end bearing during operation at `51 Hz`.,Over-greasing by maintenance personnel caused excessive churning heat (`89`°C) and blown grease retainer seals (`0.14 inch` gap).,"Replaced drive-end and non-drive-end bearings (`Spec-633`), installed shaft grounding ring (`Spec-759`) to mitigate VFD bearing currents, and realigned unit within `0.013 gap`.","DE Ball Bearing, NDE Insulated Bearing, AEGIS Shaft Grounding Ring Kit",6.5,
WO-0221,MOTOR-601,Induction Motor,2024-03-13,Marcus Vance,bearing wear,Severe high-pitched squealing audible near drive coupling. Motor bearing temperature elevated (`122`°C) with `sharp` radial vibration (`0.49` in/sec RMS).,Contamination of bearing grease with ambient chemical dust (`44 ppm` solids) through defective shaft labyrinth seal (`0.013 gap`).,"Replaced DE/NDE bearings (`P/N 3563-C`), installed upgraded non-contact INPRO labyrinth shaft seals (`P/N 5247-REV2`), and greased with Polyrex EM (`42%` fill).","Precision Ball Bearing C3 Set, INPRO Labyrinth Seal Kit, Polyrex EM Grease",6.0,
