work_order_id,asset_id,asset_type,date,technician_name,failure_mode,symptom_description,root_cause,action_taken,parts_used,downtime_hours,related_asset_ids
WO-0003,CNV-601,Belt Conveyor,2023-01-08,Elena Rostova,roller bearing failure,Idler roller completely seized (`0 RPM rotation`). Conveyor belt sliding across stationary steel shell (`extreme` flat spot worn into roller and hot rubber smell).,"Incorrect bearing tolerance (`0.011`) led to inner race spinning on the shaft, causing friction welding and bearing lockup.","Replaced seized rollers (`Spec-340`), installed deflector shields (`P/N 2038-C`) to prevent washdown water entry, and verified tracking.","CEMA E Rollers, Water Deflector Shields, Mounting Hardware",2.4,
WO-0013,CNV-601,Belt Conveyor,2023-01-24,Jameson Thorne,belt misalignment,Belt running `4.4 inches` off-center at tail pulley return idlers. Rubbing noise (`growling`) and persistent smell of hot rubber (`68 ppm` VOCs) near take-up assembly.,"Material buildup (`0.10 inch` sticky wet clay/bulk product) frozen or caked onto head pulley and return idler rolls, creating uneven diameter and forcing belt to track to one side.","Locked out conveyor, manually scraped and cleaned hardened material buildup (`6.8 lbs`) from head pulley and return idlers, adjusted take-up screw tension equally (`65 ft-lbs` torque), and test ran belt to track center.","Self-Aligning Training Idlers (Set of 3), Return Idler Rollers (4-Pack)",2.3,
WO-0034,CNV-601,Belt Conveyor,2023-03-10,Carlos Ramirez,roller bearing failure,Thermal inspection (`IR gun`) showed seized return idler bearing reaching `124`°C. Sparks visible (`slight` hazard) under dark operating conditions.,Normal fatigue failure and spalling of internal idler ball bearings after exceeding `10` hours of continuous operating life under heavy impact loading.,"Replaced 4 seized return idlers (`P/N 3312-A`) and 2 impact bed idlers under transfer point, cleared spilled material (`5.8 lbs`) from under structure, and verified smooth, quiet rotation.","Heavy-Duty Impact Troughing Idler Assemblies (Set of 2), Return Rollers (4-Pack), Idler Mounting Brackets",2.1,
WO-0053,CNV-601,Belt Conveyor,2023-04-17,Elena Rostova,belt tear,Ops reported top cover rubber delaminating (`extreme` separation) and severe edge gouging along `2.9 ft` of conveyor belt carrying surface.,"Sharp piece of tramp metal (`P/N 2454-C`) or structural steel bracket broke off and wedged between skirt board and belt surface at loading chute, gouging belt during transit.","Locked out unit, trimmed frayed belt edges, repaired 4-foot longitudinal top cover gouge using cold-cure urethane repair compound (`Spec-562`) and rubber repair strips, and readjusted skirt board clamps.","Cold-Cure Urethane Belt Repair Compound Kit (2 Packs), Heavy-Duty Rubber Patch Strips, Urethane Skirt Board Sealing Rubber (20ft)",6.0,
WO-0058,CNV-601,Belt Conveyor,2023-04-28,Elena Rostova,motor overload,"Conveyor stalled completely during heavy surge loading. Fluid coupling thermal fuse plug melted (`132°C`), discharging coupling oil (`33%` pool on floor).",Conveyor overloaded beyond maximum design capacity (`surge loading from upstream bin discharge exceeding 47% TPH`).,"Cleared excess surge material load (`5.6 lbs`) from belt carrying surface, freed up 6 jammed idler rollers under skirt board, reset motor thermal overload relay, and verified normal running draw (`111 Amps`).","Fluid Coupling Thermal Fuse Plug 140°C, ISO VG 32 Fluid Coupling Oil (2 Gallons), Replacement Return Idlers (4-Pack)",4.1,
WO-0061,CNV-601,Belt Conveyor,2023-05-15,Jameson Thorne,motor overload,"Conveyor stalled completely during heavy surge loading. Fluid coupling thermal fuse plug melted (`110°C`), discharging coupling oil (`68%` pool on floor).",Severe mechanical binding and increased drag (`141 ft-lbs` required) caused by multiple seized idler rollers and caked material dragging against bottom belt return span.,"Shoveled out heavy material spillage (`1.6 lbs`) burying tail pulley and return belt span, replaced 4 locked-up return idlers (`Spec-396`), refilled fluid coupling with fresh ISO VG 32 oil (`72 lbs gal`), and installed new thermal fuse plug.","Replacement Return Idlers (Set of 6), Motor Terminal Lug Kit",2.1,
WO-0076,CNV-601,Belt Conveyor,2023-06-21,Jameson Thorne,belt misalignment,Conveyor belt mistracking severely (`minor` off-center toward right side). Belt edge rubbing against steel conveyor frame (`chattering` squealing sound and rubber dust). Maintenance triggered after unusual process flow/pressure drop noted on primary process unit MOTOR-601.,Failed return idler bearings on one side (`56%` seized) causing asymmetric drag on the belt.,"Modified feed chute diverter plate (`progressive` angle) to center load, replaced `P/N 1536-REV2` worn return rollers, and installed edge trackers.","Deflector Plate Steel, Return Idler Assemblies, Edge Tracker Kit",2.7,MOTOR-601
WO-0083,CNV-601,Belt Conveyor,2023-06-27,Hannah Abbott,belt misalignment,Conveyor belt mistracking severely (`sharp` off-center toward right side). Belt edge rubbing against steel conveyor frame (`grinding` squealing sound and rubber dust).,"Splice joint cut and joined at a slight diagonal angle (`slight` improper squareness during belt lacing/vulcanizing), causing rhythmic mistracking every belt revolution.","Scraped caked debris from drive and tail pulleys, adjusted gravity take-up counterweight guides (`0.011 clearance`), realigned troughing idler brackets, and verified straight tracking across all zones.","Training Idler Set, Idler Mounting Hardware Kit",3.2,
WO-0114,CNV-601,Belt Conveyor,2023-08-02,David Chen,belt tear,Longitudinal rip (`6.3 ft` length) gouged into top rubber cover of conveyor belt near loading transfer chute. High load demand from driven equipment (MOTOR-601) suspected of accelerating component wear.,"Mechanical fastener/lacing splice pulled apart (`53%` tension) and caught on fixed belt scraper blade, ripping belt edge open.","Performed hot vulcanized splice repair (`109°C`) on torn belt section, removed jammed tramp metal (`1.4 lbs`) from transfer chute, and installed new heavy-duty urethane skirt board sealing strips.","Hot Vulcanizing Splice Kit & Gum Rubber, Primary Belt Cleaner Scraper Blade, Urethane Skirt Strip",6.5,MOTOR-601
WO-0128,CNV-601,Belt Conveyor,2023-08-13,Hannah Abbott,motor overload,Drive motor drawing continuous `84` Amps (`115%` rating). Gearbox output shaft rotating sluggishly with noticeable laboring noise (`screeching`).,"Loss of lagging (`44%` missing) on the drive pulley causing slip. The control system ramps up speed (`49 Hz Hz`) to compensate, overloading the motor.","Re-lagged drive pulley (`P/N 2871-REV2`) with diamond tread rubber (`0.19 inch` thick), tightened take-up (`42 ft-lbs` tension), and verified zero slip with tachometer.","Ceramic Lagging Strips, Cold Vulcanizing Adhesive, Tensioning Bolts",3.7,
